Date,Open,High,Low,Cls,Volume
2024-03-18,110.43,116.05,100.64,100.72,6979
2024-03-19,118.33,127.23,113.3,114.02,1381
2024-03-20,165.98,168.9,162.49,167.8,11145
2024-03-21,161.19,167.68,152.17,156.81,4622
2024-03-22,135.83,140.12,134.69,138.64,19876
2024-03-23,154.44,161.74,153.11,160.65,16591
2024-03-24,191.85,193.91,184.29,185.91,5559
2024-03-25,187.73,195.96,182.56,185.7,10465
2024-03-26,108.24,109.69,104.17,107.25,18316
2024-03-27,151.28,155.18,142.35,149.47,13818
2024-03-28,199.91,203.78,197.22,203.12,11157
2024-03-29,158.11,163.14,152.7,162.75,1845
2024-03-30,111.7,121.03,104.52,114.19,12178
2024-03-31,170.07,175.81,164.78,173.0,9625
2024-04-01,107.65,107.91,104.24,107.85,17629
2024-04-02,185.59,190.21,179.49,189.27,1155
2024-04-03,120.57,128.84,114.36,128.26,12833
2024-04-04,162.61,167.58,154.45,159.23,9169
2024-04-05,161.48,166.29,158.14,161.81,11778
2024-04-06,132.73,142.39,126.49,140.67,15134
2024-04-07,184.24,185.61,182.73,184.17,11697
2024-04-08,171.87,174.57,171.65,174.44,5000
2024-04-09,169.51,176.24,169.33,171.46,18079
2024-04-10,145.33,155.2,135.4,144.32,17940
2024-04-11,138.15,144.92,134.4,138.93,19854
2024-04-12,163.54,169.72,153.89,160.63,4778
2024-04-13,162.84,168.72,153.61,166.46,13259
2024-04-14,190.17,195.33,190.1,194.35,17735
2024-04-15,151.9,160.58,151.29,155.07,16013
2024-04-16,188.69,190.99,178.99,182.55,17055
2024-04-17,100.02,104.24,95.85,98.31,3081
2024-04-18,125.93,134.63,116.09,131.71,3154
2024-04-19,163.8,164.03,154.62,158.63,13634
2024-04-20,133.57,138.95,125.22,138.4,9736
2024-04-21,102.9,107.89,102.12,106.72,10781
2024-04-22,191.85,200.66,189.77,196.64,4387
2024-04-23,176.91,183.35,175.26,178.37,2078
2024-04-24,186.8,194.97,178.59,181.17,9303
2024-04-25,177.1,181.25,171.3,180.75,7684
2024-04-26,183.23,184.33,179.9,183.21,1861
2024-04-27,139.79,148.05,133.97,141.66,13617
2024-04-28,197.71,199.41,188.49,196.94,17298
2024-04-29,179.79,187.11,169.87,184.84,1547
2024-04-30,130.85,137.14,130.16,132.97,1700
2024-05-01,117.3,122.23,110.6,111.51,12547
2024-05-02,165.77,174.85,162.89,163.91,9874
2024-05-03,148.93,156.26,145.14,153.29,2647
2024-05-04,103.14,104.01,93.24,100.47,16472
2024-05-05,184.55,194.45,183.91,191.69,16443
2024-05-06,198.8,202.68,191.46,198.53,12897
2024-05-07,149.21,152.6,146.63,147.05,3497
2024-05-08,133.19,138.24,128.53,135.09,3622
2024-05-09,195.15,198.92,190.38,197.59,13876
2024-05-10,114.89,124.45,105.36,106.58,11314
2024-05-11,120.14,127.53,110.76,125.21,18819
2024-05-12,173.53,178.97,171.56,173.06,10643
2024-05-13,147.87,148.97,142.7,148.11,15808
2024-05-14,149.31,151.85,141.28,147.66,8251
2024-05-15,169.03,177.59,168.8,170.68,7515
2024-05-16,122.21,125.82,116.97,121.87,11333
2024-05-17,102.62,110.18,99.72,106.26,2741
2024-05-18,160.84,167.48,158.3,166.56,5620
2024-05-19,174.18,182.65,164.48,180.06,13916
2024-05-20,175.34,181.1,173.03,175.24,18374
2024-05-21,106.6,109.35,102.87,103.55,17330
2024-05-22,143.77,144.09,138.97,140.83,8140
2024-05-23,107.38,109.97,104.6,107.59,1454
2024-05-24,107.74,108.04,99.76,102.96,14707
2024-05-25,150.59,158.82,141.14,145.84,7905
2024-05-26,165.6,167.48,158.1,160.02,8486
2024-05-27,154.71,156.83,152.89,153.78,19035
2024-05-28,116.02,118.53,109.33,115.34,3970
2024-05-29,167.15,169.4,166.36,166.85,5504
2024-05-30,140.93,149.22,139.02,141.61,4865
2024-05-31,173.91,177.27,172.86,176.52,13376
2024-06-01,154.58,156.6,145.31,146.0,1126
2024-06-02,166.12,169.63,160.7,162.16,12853
2024-06-03,185.85,194.05,182.23,188.57,17889
2024-06-04,117.07,123.18,109.53,110.03,18239
2024-06-05,124.53,125.12,121.5,124.62,19923
2024-06-06,165.92,172.0,160.64,160.96,1263
2024-06-07,152.53,160.97,149.5,157.01,13178
2024-06-08,185.63,194.54,178.71,187.14,6091
2024-06-09,173.39,182.79,167.95,180.16,7054
2024-06-10,189.05,198.94,185.74,193.53,7737
2024-06-11,154.62,163.18,147.7,157.41,17937
2024-06-12,193.22,196.67,187.73,190.37,6766
2024-06-13,123.78,131.39,121.26,123.97,13355
2024-06-14,149.96,157.39,144.68,151.92,6815
2024-06-15,150.21,154.39,140.66,149.06,8002
2024-06-16,133.87,138.73,124.28,131.39,7430
2024-06-17,149.42,152.26,141.81,150.49,15345
2024-06-18,108.66,115.77,108.3,112.72,3663
2024-06-19,160.76,165.75,157.53,162.19,12791
2024-06-20,195.08,204.63,194.65,199.74,19795
2024-06-21,161.95,166.05,155.26,160.81,18955
2024-06-22,174.78,180.07,174.02,179.59,16251
2024-06-23,130.71,135.73,121.45,129.57,1681
2024-06-24,142.61,150.11,136.51,146.88,10640
2024-06-25,170.41,175.61,168.45,170.48,19149
2024-06-26,131.46,141.14,130.39,139.6,6788
2024-06-27,130.84,137.0,129.15,133.04,12659
2024-06-28,132.86,140.58,122.99,136.47,10706
2024-06-29,161.88,171.5,153.5,159.83,8195
2024-06-30,187.68,187.89,186.88,187.48,2981
2024-07-01,101.68,111.63,92.52,105.44,17610
2024-07-02,150.03,153.84,142.26,142.42,6487
2024-07-03,159.24,168.3,157.93,165.19,11287
2024-07-04,100.27,105.33,95.13,96.26,16686
2024-07-05,130.04,131.72,125.08,127.61,12575
2024-07-06,155.07,160.25,153.01,156.93,3488
2024-07-07,120.5,126.06,112.08,114.42,7923
2024-07-08,182.31,183.01,172.87,173.1,11691
2024-07-09,103.27,111.98,102.2,105.08,9401
2024-07-10,140.26,148.5,136.45,144.53,18560
2024-07-11,180.7,182.12,175.01,178.39,4433
2024-07-12,172.46,173.68,170.12,170.8,18837
2024-07-13,161.07,161.68,159.43,159.61,6410
2024-07-14,107.23,109.85,98.87,99.02,19756
2024-07-15,120.71,124.12,112.63,120.47,10448
2024-07-16,143.72,143.89,140.83,143.76,13598
2024-07-17,150.96,152.94,145.27,148.6,19215
2024-07-18,171.64,173.62,168.78,172.2,11790
2024-02-20,162.03,168.62,157.31,164.55,3693
